Filtered_RSSI,Raw
-46.32,-70
-44.85,-39
-44.88,-45
-46.91,-55
-47.93,-52
-47.94,-48
-44.15,-29
-43.32,-40
-44.46,-49
-45.97,-52
-48.37,-58
-49.50,-54
-50.20,-53
-50.56,-52
-51.45,-55
-52.56,-57
-54.85,-64
-60.48,-83
-59.58,-56
-59.67,-60
-58.73,-55
-58.79,-59
-58.23,-56
-57.38,-54
-56.91,-55
-56.13,-53
-55.30,-52
-54.64,-52
-53.91,-51
-52.53,-47
-53.22,-56
-51.98,-47
-51.58,-50
-49.87,-43
-49.49,-48
-49.59,-50
-47.88,-41
-47.50,-46
-46.60,-43
-45.28,-40
-43.82,-38
-42.66,-38
-41.53,-37
-40.62,-37
-40.50,-40
-46.00,-68
-45.00,-41
-45.40,-47
-45.12,-44
-45.90,-49
-45.52,-44
-46.61,-51
-52.49,-76
-54.19,-61
-55.35,-60
-55.08,-54
-55.67,-58
-57.33,-64
-56.47,-53
-57.77,-63
-57.42,-56
-57.93,-60
-58.55,-61
-58.04,-56
-57.23,-54
-57.78,-60
-57.23,-55
-57.38,-58
-58.11,-61
-60.08,-68
-60.87,-64
-60.09,-57
-61.08,-65
-59.66,-54
-58.73,-55
-57.38,-52
-58.91,-65
-57.12,-50
-55.90,-51
-54.32,-48
-53.46,-50
-53.96,-56
-53.97,-54
-52.78,-48
-52.42,-51
-51.94,-50
-51.15,-48
-51.12,-51
-50.70,-49
-49.76,-46
-48.41,-43
-48.72,-50
-47.58,-43
-46.06,-40
-50.85,-70
-48.88,-41
-47.10,-40
-44.88,-36
-43.31,-37
-41.85,-36
-40.08,-33
-38.86,-34
-38.09,-35
-38.67,-41
-37.34,-32
-43.27,-67
-42.22,-38
-40.97,-36
-40.38,-38
